Object_ID, Length, Assignment
M03424:106:000000000-AU667:1:1102:13483:4048/1,53,NA
M03424:106:000000000-AU667:1:1102:13991:11166/1,72,NA
M03424:106:000000000-AU667:1:1102:13994:25011/1,66,NA
M03424:106:000000000-AU667:1:1102:14403:4172/1,90,NA
M03424:106:000000000-AU667:1:1102:14650:22976/1,187,NA
M03424:106:000000000-AU667:1:1102:15653:24790/1,60,NA
M03424:106:000000000-AU667:1:1102:15987:22213/1,41,NA
M03424:106:000000000-AU667:1:1102:16160:3326/1,301,NA
M03424:106:000000000-AU667:1:1102:16221:16647/1,35,NA
M03424:106:000000000-AU667:1:1102:16370:20166/1,55,NA
M03424:106:000000000-AU667:1:1102:16377:18523/1,301,NA
M03424:106:000000000-AU667:1:1102:16567:10434/1,165,NA
M03424:106:000000000-AU667:1:1102:16912:12619/1,45,NA
M03424:106:000000000-AU667:1:1102:16986:11259/1,186,NA
M03424:106:000000000-AU667:1:1102:17304:11979/1,64,NA
M03424:106:000000000-AU667:1:1102:17315:10853/1,35,NA
M03424:106:000000000-AU667:1:1102:17631:10493/1,135,NA
M03424:106:000000000-AU667:1:1102:17715:5028/1,42,NA
M03424:106:000000000-AU667:1:1102:18088:16600/1,104,NA
M03424:106:000000000-AU667:1:1102:18302:10398/1,78,NA
M03424:106:000000000-AU667:1:1102:19078:21526/1,36,NA
M03424:106:000000000-AU667:1:1102:19094:15679/1,301,NA
M03424:106:000000000-AU667:1:1102:19210:4695/1,134,NA
M03424:106:000000000-AU667:1:1102:19575:6908/1,61,NA
M03424:106:000000000-AU667:1:1102:19775:14948/1,98,NA
M03424:106:000000000-AU667:1:1102:20004:16793/1,41,NA
M03424:106:000000000-AU667:1:1102:20285:14184/1,301,NA
M03424:106:000000000-AU667:1:1102:20322:11529/1,300,1805714
M03424:106:000000000-AU667:1:1102:20426:20388/1,151,NA
M03424:106:000000000-AU667:1:1102:20461:17304/1,301,NA
M03424:106:000000000-AU667:1:1102:20586:4706/1,208,NA
M03424:106:000000000-AU667:1:1102:20909:19265/1,43,NA
M03424:106:000000000-AU667:1:1102:21127:15283/1,105,NA
M03424:106:000000000-AU667:1:1102:21144:5985/1,208,NA
M03424:106:000000000-AU667:1:1102:21559:7800/1,45,NA
M03424:106:000000000-AU667:1:1102:21900:5475/1,122,NA
M03424:106:000000000-AU667:1:1102:22017:22884/1,94,NA
M03424:106:000000000-AU667:1:1102:22168:9129/1,46,NA
M03424:106:000000000-AU667:1:1102:22474:8003/1,40,NA
M03424:106:000000000-AU667:1:1102:22498:8833/1,38,NA
M03424:106:000000000-AU667:1:1102:22719:19596/1,99,NA
M03424:106:000000000-AU667:1:1102:23199:5853/1,123,NA
M03424:106:000000000-AU667:1:1102:23216:22746/1,61,NA
M03424:106:000000000-AU667:1:1102:23840:8681/1,124,NA
M03424:106:000000000-AU667:1:1102:23897:2485/1,301,NA
M03424:106:000000000-AU667:1:1102:24060:6780/1,44,NA
